"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","barrio","umenores"
"58","onlyap599232738a46554f807af44958","https://www.only-apartments.es/_/917285",-1.98011934757233,43.3187695023144,"2018-04-17 11:33:09.982000","2018-04-24 11:09:50.165000","onlyap917285","Apartamento",NA,4,NA,1,NA,"Centro","Area Romantica"
"59","onlyap599232738a46554f807af44959","https://www.only-apartments.es/_/674322",-1.98012337088585,43.3187821866467,"2018-04-22 22:42:24.423000","2018-04-24 08:29:16.321000","onlyap674322","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"60","onlyap599232738a46554f807af44960","https://www.only-apartments.es/_/917271",-1.98013689999993,43.3193656,"2018-04-17 11:33:43.175000","2018-04-24 10:47:36.393000","onlyap917271","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"61","onlyap599232738a46554f807af44961","https://www.only-apartments.es/_/917324",-1.98092937469482,43.3190583141475,"2018-04-17 11:33:38.531000","2018-04-24 11:11:59.510000","onlyap917324","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"62","onlyap599232738a46554f807af44962","https://www.only-apartments.es/_/674289",-1.98158517479897,43.318950985586,"2018-04-22 22:42:24.421000","2018-04-24 08:27:46.691000","onlyap674289","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"63","onlyap599232738a46554f807af44963","https://www.only-apartments.es/_/917345",-1.98250289999999,43.3178128,"2018-04-17 11:33:09.981000","2018-04-24 05:23:15.686000","onlyap917345","Apartamento",NA,2,NA,1,NA,"Centro","Area Romantica"
"64","onlyap599232738a46554f807af44964","https://www.only-apartments.es/_/917363",-1.98273300000005,43.3177689,"2018-04-17 11:33:34.074000","2018-04-24 11:05:19.583000","onlyap917363","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"65","onlyap599232738a46554f807af44965","https://www.only-apartments.es/_/674523",-1.9829235970974,43.3188690254659,"2018-04-22 22:42:18.329000","2018-04-24 07:26:03.724000","onlyap674523","Apartamento",NA,2,NA,1,NA,"Centro","Area Romantica"
"66","onlyap599232738a46554f807af44966","https://www.only-apartments.es/_/917270",-1.98267012834549,43.3186387559655,"2018-04-17 11:41:05.891000","2018-04-18 23:02:56.917000","onlyap917270","Apartamento",NA,10,NA,3,NA,"Centro","Area Romantica"
"67","onlyap599232738a46554f807af44967","https://www.only-apartments.es/_/917323",-1.9823523,43.3188908,"2018-04-17 11:33:09.981000","2018-04-24 05:38:50.197000","onlyap917323","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
"68","onlyap599232738a46554f807af44968","https://www.only-apartments.es/_/917331",-1.98241740000003,43.3191812,"2018-04-17 11:38:13.721000","2018-04-18 20:51:08.214000","onlyap917331","Apartamento",NA,6,NA,2,NA,"Centro","Area Romantica"
"69","onlyap599232738a46554f807af44969","https://www.only-apartments.es/_/917289",-1.98241740000003,43.3191812,"2018-04-17 11:39:09.266000","2018-04-18 21:34:43.499000","onlyap917289","Apartamento",NA,7,NA,3,NA,"Centro","Area Romantica"
"70","onlyap599232738a46554f807af44970","https://www.only-apartments.es/_/917329",-1.9819397,43.3199357,"2018-04-17 11:35:54.359000","2018-04-18 18:37:56.727000","onlyap917329","Apartamento",NA,5,NA,2,NA,"Centro","Area Romantica"
"71","onlyap599232738a46554f807af44971","https://www.only-apartments.es/_/917343",-1.9819397,43.3199357,"2018-04-17 11:39:09.233000","2018-04-18 21:32:50.052000","onlyap917343","Apartamento",NA,7,NA,3,NA,"Centro","Area Romantica"
"72","onlyap599232738a46554f807af44972","https://www.only-apartments.es/_/917238",-1.98189496994019,43.3201198809808,"2018-04-17 11:37:43.672000","2018-04-18 20:30:36.411000","onlyap917238","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"73","onlyap599232738a46554f807af44973","https://www.only-apartments.es/_/917265",-1.98127210000007,43.3204066,"2018-04-17 11:33:34.064000","2018-04-24 11:11:12.636000","onlyap917265","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"74","onlyap599232738a46554f807af44974","https://www.only-apartments.es/_/513987",-1.9841498370483,43.321595440238,"2018-03-31 17:54:29.300000","2018-04-18 17:08:48.238000","onlyap513987","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"75","onlyap599232738a46554f807af44975","https://www.only-apartments.es/_/917243",-1.984089,43.3216286,"2018-04-17 11:38:17.704000","2018-04-18 20:58:22.778000","onlyap917243","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"76","onlyap599232738a46554f807af44976","https://www.only-apartments.es/_/917254",-1.98355800000002,43.3206491,"2018-04-17 11:38:22.843000","2018-04-18 21:02:01.694000","onlyap917254","Apartamento",NA,6,NA,2,NA,"Centro","Area Romantica"
"77","onlyap599232738a46554f807af44977","https://www.only-apartments.es/_/917241",-1.98352479999994,43.3196154,"2018-04-17 11:33:34.064000","2018-04-24 11:01:56.835000","onlyap917241","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"78","onlyap599232738a46554f807af44978","https://www.only-apartments.es/_/917225",-1.98352479999994,43.3196154,"2018-04-17 11:33:34.069000","2018-04-24 11:03:40.102000","onlyap917225","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"79","onlyap599232738a46554f807af44979","https://www.only-apartments.es/_/639734",-1.983567,43.320049,"2018-04-17 11:34:07.853000","2018-04-18 17:06:36.326000","onlyap639734","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"80","onlyap599232738a46554f807af44980","https://www.only-apartments.es/_/917321",-1.98411320000002,43.3205923,"2018-04-17 11:38:13.720000","2018-04-18 20:51:00.317000","onlyap917321","Apartamento",NA,6,NA,4,NA,"Centro","Area Romantica"
"81","onlyap599232738a46554f807af44981","https://www.only-apartments.es/_/917186",-1.98419481166684,43.3207570090632,"2018-04-17 11:33:09.980000","2018-04-24 06:53:27.595000","onlyap917186","Apartamento",NA,4,NA,1,NA,"Centro","Area Romantica"
"82","onlyap599232738a46554f807af44982","https://www.only-apartments.es/_/917280",-1.98419481166684,43.3207570090632,"2018-04-17 11:33:09.983000","2018-04-24 06:56:48.691000","onlyap917280","Apartamento",NA,4,NA,1,NA,"Centro","Area Romantica"
"83","onlyap599232738a46554f807af44983","https://www.only-apartments.es/_/917309",-1.98478509999995,43.3214496,"2018-04-17 11:38:13.724000","2018-04-18 20:54:27.598000","onlyap917309","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"84","onlyap599232738a46554f807af44984","https://www.only-apartments.es/_/917336",-1.98451012372971,43.3217180504783,"2018-04-17 11:32:31.315000","2018-04-24 01:31:31.133000","onlyap917336","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
"85","onlyap599232738a46554f807af44985","https://www.only-apartments.es/_/917353",-1.98516829999994,43.3176886,"2018-04-17 11:35:54.360000","2018-04-18 18:38:50.753000","onlyap917353","Apartamento",NA,5,NA,3,NA,"Centro","Area Romantica"
"86","onlyap599232738a46554f807af44986","https://www.only-apartments.es/_/917366",-1.98496520000003,43.3173141,"2018-04-17 11:38:17.705000","2018-04-18 20:59:27.965000","onlyap917366","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"87","onlyap599232738a46554f807af44987","https://www.only-apartments.es/_/917339",-1.98496520000003,43.3173141,"2018-04-17 11:38:17.706000","2018-04-18 21:00:32.696000","onlyap917339","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"88","onlyap599232738a46554f807af44988","https://www.only-apartments.es/_/917230",-1.98468370000001,43.3177282,"2018-04-17 11:33:38.546000","2018-04-24 10:59:06.456000","onlyap917230","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"89","onlyap599232738a46554f807af44989","https://www.only-apartments.es/_/917272",-1.98468370000001,43.3177282,"2018-04-17 11:41:26.937000","2018-04-18 23:17:27.894000","onlyap917272","Apartamento",NA,12,NA,5,NA,"Centro","Area Romantica"
"90","onlyap599232738a46554f807af44990","https://www.only-apartments.es/_/917364",-1.98384799999997,43.3192275,"2018-04-17 11:33:34.069000","2018-04-18 16:47:40.535000","onlyap917364","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
"91","onlyap599232738a46554f807af44991","https://www.only-apartments.es/_/917209",-1.98384799999997,43.3192275,"2018-04-17 11:33:38.550000","2018-04-24 10:41:28.510000","onlyap917209","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"92","onlyap599232738a46554f807af44992","https://www.only-apartments.es/_/917214",-1.98384799999997,43.3192275,"2018-04-17 11:40:14.879000","2018-04-18 22:31:37.417000","onlyap917214","Apartamento",NA,8,NA,3,NA,"Centro","Area Romantica"
"93","onlyap599232738a46554f807af44993","https://www.only-apartments.es/_/674443",-1.983703,43.31955,"2018-04-22 22:42:47.202000","2018-04-24 12:03:47.042000","onlyap674443","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
"94","onlyap599232738a46554f807af44994","https://www.only-apartments.es/_/513986",-1.9834618,43.3188868,"2018-03-31 17:54:29.299000","2018-04-18 17:07:52.733000","onlyap513986","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"95","onlyap599232738a46554f807af44995","https://www.only-apartments.es/_/917837",-1.98368549999998,43.3184756,"2018-04-17 11:38:13.723000","2018-04-18 20:53:55.216000","onlyap917837","Apartamento",NA,6,NA,2,NA,"Centro","Area Romantica"
"96","onlyap599232738a46554f807af44996","https://www.only-apartments.es/_/672802",-1.983868,43.318028,"2018-03-31 17:55:09.509000","2018-04-18 21:07:41.531000","onlyap672802","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"97","onlyap599232738a46554f807af44997","https://www.only-apartments.es/_/665895",-1.9839039999999,43.3183249,"2018-03-31 17:54:43.979000","2018-04-18 18:42:25.596000","onlyap665895","Apartamento",NA,5,NA,3,NA,"Centro","Area Romantica"
"98","onlyap599232738a46554f807af44998","https://www.only-apartments.es/_/917368",-1.98394129999997,43.3172054,"2018-04-17 11:33:09.984000","2018-04-24 06:38:20.287000","onlyap917368","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"99","onlyap599232738a46554f807af44999","https://www.only-apartments.es/_/917305",-1.98386169970036,43.3170366024867,"2018-04-17 11:31:31.013000","2018-04-23 19:26:54.347000","onlyap917305","Apartamento",NA,4,NA,1,NA,"Centro","Area Romantica"
"100","onlyap599232738a46554f807af449100","https://www.only-apartments.es/_/639707",-1.985615,43.315286,"2018-03-31 17:54:32.474000","2018-04-18 17:25:28.123000","onlyap639707","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"101","onlyap599232738a46554f807af449101","https://www.only-apartments.es/_/639730",-1.985668,43.315358,"2018-03-31 17:54:29.298000","2018-04-18 17:10:16.718000","onlyap639730","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"102","onlyap599232738a46554f807af449102","https://www.only-apartments.es/_/917235",-1.98542670000006,43.3154534,"2018-04-17 11:38:17.701000","2018-04-18 20:55:34.174000","onlyap917235","Apartamento",NA,6,NA,2,NA,"Centro","Area Romantica"
