"","id","latitude","longitude","price","accommodates","room_type","host_id","host_name","source","barrio","umenores"
"72",15453886,43.3147877526618,-1.98621064127593,140,4,"Entire home/apt",94205663,"Paula","InsideAirbnb,Santi Espinosa","Aiete","Arbaizenea"
"73",15388317,43.3148736213826,-1.98764510782508,264,5,"Entire home/apt",98189424,"Iberorent Apartments","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"74",16076453,43.3262153367113,-1.97310213994966,55,3,"Entire home/apt",12954077,"Aritz","InsideAirbnb,Santi Espinosa","Gros","Gros"
"75",6114948,43.3146357876388,-1.98938884289356,130,4,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Paseo Miraconcha"
"76",14077558,43.3093701952475,-2.00335546006606,90,4,"Entire home/apt",25365334,"Joseba","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"77",13389434,43.3081945387035,-1.98129464419645,203,4,"Entire home/apt",50920106,"Concepcion","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"78",14063426,43.3223847579304,-1.9851015481238,59,2,"Private room",84424576,"Terence","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"79",7327351,43.3026663584897,-1.97937926102179,160,5,"Entire home/apt",38381170,"Mari Carmen","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"80",12504696,43.3223619176606,-1.97862219770344,90,2,"Entire home/apt",5254782,"Always Easy","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"81",14000878,43.3227645337246,-1.97787339516434,40,1,"Private room",149691,"Alex","InsideAirbnb,Santi Espinosa","Gros","Gros"
"82",9645009,43.300948335017,-2.07241932794208,48,2,"Private room",49871447,"Ibon","InsideAirbnb,Santi Espinosa","Igeldo","IGELDO"
"83",2896777,43.3238547585589,-1.98394917856325,75,2,"Entire home/apt",3952766,"Jon","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"84",12725191,43.3040326825763,-1.97979095254386,33,1,"Private room",69188309,"Leandro","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"85",1780666,43.322387335044,-1.98703349647242,70,2,"Private room",149691,"Alex","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"86",5606296,43.3145246874122,-2.0001070914984,53,2,"Entire home/apt",17444441,"Jon","InsideAirbnb,Santi Espinosa","Antiguo","Matia"
"87",13159326,43.3122600258007,-2.00379056263037,130,4,"Entire home/apt",69375962,"Michel","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"88",6998934,43.3078309828047,-2.05851505271369,80,2,"Private room",20367848,"Mariajose","InsideAirbnb,Santi Espinosa","Igeldo","IGELDO"
"89",10084868,43.3190623455246,-1.98084217950706,215,4,"Entire home/apt",13343635,"Andrea","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"90",3484560,43.3252836152476,-1.98401206155797,49,2,"Private room",17544770,"Juana & Aitor","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"91",8039313,43.3153374565042,-1.98222424391595,80,4,"Entire home/apt",42455382,"Oier","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
