host_id,host_name,alojamientos,sum_accomodates
47469008,Mª José,1,4
47550535,Nerea,1,7
47755143,Alex,1,3
47761807,Estibaliz,1,2
47766241,Ignacio,1,2
47829747,Ignacio,1,2
48003707,Mariona,1,2
48619281,Urko,1,8
48795865,Jim & Espe,1,4
48880546,Begoña,1,4
48917476,Estitxu,1,2
49086359,Rosa,1,1
49414795,Yessica,1,2
49686204,Miren,1,4
49775940,Rosa,1,4
49977631,Ibon,1,4
50034160,Maider,1,6
50445463,Diego,1,4
50516880,Jose Luis,1,1
50890409,Ido,1,8
50909774,D.,1,2
50993110,Concepcion,1,5
51296876,Alan,1,2
51420363,Mike,1,2
51429618,Martín,1,6
51682000,Mikel,1,2
51802919,Maria Jesus,1,6
52158704,Roberto,1,3
52323145,Amaia,1,2
52422193,Xin,1,4
52431219,Beatriz,1,6
52511321,Hodei & Pili,1,4
53330295,Marga & Bart,1,6
53442582,Aines,1,6
53583018,Jose Luis,1,2
54335894,Ruth,1,9
55084676,James,1,2
55128126,Isabel,1,2
55731396,Jose,1,5
56059059,Lierni,1,2
56067623,Patri&Jhon,1,6
57052119,Alejo,1,4
57209575,Antton,1,12
57387361,Aritz,1,5
57726218,Maite,1,2
58069986,Perez,1,4
58078253,Maider Y Larraitz,1,4
58140293,Asun,1,4
58765351,Cristina,1,1
58980481,Nawal,1,4
59153204,Brendon,1,8
59613993,Laura,1,3
59956509,Jone,1,4
60178480,Ana,1,5
60269276,Nico,1,2
60783435,Iban,1,4
61291867,Liuba,1,5
61419767,Jose,1,6
61945641,Aitor,1,2
61980780,Nora,1,6
62087777,José Ángel,1,5
62220773,Jens,1,2
62406436,Eric,1,2
62838817,Arantxa,1,4
62995824,Lisa & Enrike,1,5
63025269,Nerea,1,4
63047716,Marisa,1,4
63088252,Ane,1,4
63100080,Maite,1,6
63233905,Maria,1,1
63333992,David,1,4
63349894,Susana,1,4
63500037,Arantza,1,6
64629543,Natalia,1,4
64632576,Juan,1,5
64716367,Garazi,1,3
64767515,Aingeru,1,2
64948558,Clara,1,2
65018851,Leire,1,8
65584104,Montserrat,1,2
65708005,Esther,1,4
65804738,Kayros,1,2
65846490,Koldo,1,2
66056585,Celestino,1,5
66092846,Alethia,1,6
66189507,Teresa,1,13
66195608,Villa Sabene 4,1,3
66206246,Joxean Y Eva,1,2
66442943,Juanma-Begoña,1,2
66539980,Belen,1,2
66631770,Ioritz,1,2
66803125,Ainhoa,1,4
67002163,Isabel,1,6
67170968,Isabel & Aitor,1,4
67625685,Bea & Bingen,1,2
67756864,Gabriella Dantas,1,2
67867097,Izaskun,1,6
68513616,Virginia,1,6
68607178,Imanol,1,3
68686301,Mariaje,1,4
68832889,Marisa Y Alazne,1,1
68869045,Elena,1,5
68900724,Salah,1,5
69087589,María,1,6
69188309,Jon,1,1
69375962,Leandro,1,4
70344992,Michel,1,4
70742170,Gloria,1,4
70783776,Maria&Itxaso&Iñaki,1,2
71124765,Mariaje,1,2
71159770,Angela,1,4
71948758,Gari,1,4
72174065,Leire,1,7
72661153,I Feel Sweel,1,1
72832832,Oscar,1,2
73303284,Onintza,1,2
73378126,Aitor,1,6
73601251,Maider,1,6
73961518,Mª Pilar,1,3
74112299,Ines,1,4
74570915,Begoña,1,4
74781426,Klara,1,5
74962084,Juan José,1,2
75051852,Javi,1,2
75066674,Patricia,1,5
75066679,Juana,1,2
75562142,Graciela,1,7
75640070,Jon,1,6
76520078,Asier,1,2
76917004,Aitor,1,2
77054821,Irene,1,2
77280239,Sonia,1,2
77306245,Borja,1,4
77307684,Irune,1,2
77447809,Gonzalo,1,4
77712776,Leticia,1,3
77735870,Iñaki Aitor,1,4
77883605,Erkuden,1,4
77963975,Susana,1,2
78058732,Carlos,1,7
78253400,Mikel,1,2
78638598,Leni,1,8
78640281,Lidia&Miren,1,5
79077346,Escarcer,1,2
79314928,Javier,1,6
79642589,Miss Val,1,5
79850083,Aitor,1,5
80195068,Iker,1,2
80288659,Ana,1,5
80311219,Julen,1,5
80506804,Martxelo,1,4
80739881,Nerea,1,2
81045215,Natalia,1,2
81048519,Juan Jose,1,3
81464551,Espe,1,4
82023303,Beatriz,1,5
82282530,Maria Diva,1,2
83317009,Asun,1,4
83735015,JoseLuis & Miren,1,4
83742780,Eider,1,2
84093662,Vahe,1,5
84424576,Terence,1,2
84632475,Sofía,1,5
84915138,Juan Carlos,1,1
85046454,Edurne,1,3
85137945,Iñigo,1,5
85236281,Onintza,1,1
85851726,Friedi,1,2
85931946,Coro,1,4
86025214,A Room In The City,1,1
86327331,Maria,1,4
87473927,Ana Cristina,1,4
87699823,Jose Ignacio,1,7
87774642,Mai,1,4
87796657,Itzi & Sebas,1,2
87994485,Hector,1,2
88092791,Lide,1,4
89346842,Jennifer,1,5
89794459,André,1,1
90286165,Magy,1,2
90505047,Jagoba,1,4
90580974,Myriam,1,4
90895759,Natalia,1,2
91109629,Sonia,1,1
92136823,Carmen,1,5
92397483,Marina,1,4
92756437,Laida & Galder,1,7
92983132,Maria,1,2
93687802,Nicholas,1,2
93847637,Alberto,1,4
94205663,Paula,1,4
94296670,Pablo&Family,1,10
95149231,Cristina,1,4
96926071,Manoli,1,2
96979720,Mj,1,4
97079841,Miriam & Andoni,1,4
97292628,Miguel,1,6
99490946,Sabrina,1,1
100474652,Rosa,1,3
101354142,Rosi,1,4
102133738,Dånìl,1,2
102478614,Nuria,1,2
103037542,Joe,1,2
103247076,Isabel Ortiz Perez,1,2
103396138,Txema,1,2
103710458,Juls,1,2
105237788,Arantxa Y Aitor,1,4
105663223,Pedro,1,10
105917109,Luis,1,5
106063182,Deylui,1,2
106884120,Sort,1,12
106914989,Mikel / Ainhoa,1,5
109347536,Xabier,1,3
109746871,Mari,1,1
109780975,Amaia,1,4
110528065,Simone,1,2
112704367,Charo,1,4
115129584,Walter,1,6
115134693,Juana,1,3
116390025,Ainhoa,1,7
118939099,Natalia,1,1
119149236,Iñaki,1,2
119293460,Ina,1,4
119660337,Eneritz,1,4
120231094,Maria,1,6
121686363,Maria,1,4
122056479,Danel,1,2
122066306,Aitzol&Andrea,1,3
122218931,SanSebastianFlats.,1,5
