"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","name","img","barrio","umenores"
"1748","airbnb17432290","https://www.airbnb.es/rooms/17432290",-2.00400772272734,43.3126100045121,"2017-08-16 18:39:43.442000","2017-09-08 09:54:49.112000","airbnb18192487","entire_home",1,2,5,2,80,"Lorea, acogedor apartamento cerca de la playa","https://a0.muscache.com/im/pictures/a3b856e6-5847-4ae0-86b8-97b944d648ed.jpg?aki_policy=medium","Antiguo","Matia"
"1749","airbnb13159326","https://www.airbnb.es/rooms/13159326",-2.004031,43.312637,"2017-08-16 18:39:51.370000","2018-04-15 15:10:54.288000","airbnb69375962","entire_home",3,5,3,7,165,"Appartement 84m2 proche plage Ondareta","https://a0.muscache.com/im/pictures/8a25b27c-6d5a-4387-bd93-3bcc0dfc04cb.jpg?aki_policy=medium","Antiguo","Matia"
"1750","airbnb6372286","https://www.airbnb.es/rooms/6372286",-2.00293458720281,43.3137767535461,"2017-08-16 18:39:51.369000","2017-09-08 09:54:58.815000","airbnb33206224","entire_home",2,4,57,2,150,"Como en casa.","https://a0.muscache.com/im/pictures/84931697/abf302a2_original.jpg?aki_policy=medium","Antiguo","Matia"
"1751","airbnb13501925","https://www.airbnb.es/rooms/13501925",-2.00336043194215,43.313792191649,"2017-08-16 18:39:35.813000","2018-04-15 15:11:54.178000","airbnb77447809","entire_home",2,4,0,3,191,"Coqueto apartamento en San Sebastian","https://a0.muscache.com/im/pictures/3960d894-4d73-42b7-b505-cb0527118cc1.jpg?aki_policy=medium","Antiguo","Matia"
"1752","airbnb22633558","https://www.airbnb.es/rooms/22633558",-2.0030420647084,43.3139461939509,"2018-04-05 23:54:34.580000","2018-04-15 08:36:18.704000","airbnb125279320","private_room",1,2,3,1,63,"Habitacion a 200 metros Playa Ondarreta","https://a0.muscache.com/im/pictures/0a9dc9c9-5205-426f-92b9-9da29faf9c97.jpg?aki_policy=medium","Antiguo","Matia"
"1753","airbnb18887064","https://www.airbnb.es/rooms/18887064",-2.00300614076974,43.314079460005,"2017-08-16 18:39:39.796000","2017-09-08 09:55:10.128000","airbnb5254782","entire_home",2,4,7,2,95,"ATICO DE ELENE","https://a0.muscache.com/im/pictures/788fe0f1-c70c-4cf0-a496-35afab06f7c2.jpg?aki_policy=medium","Antiguo","Matia"
"1754","airbnb17085524","https://www.airbnb.es/rooms/17085524",-2.00337299958372,43.314178195729,"2017-08-16 18:39:27.606000","2017-09-08 09:55:19.613000","airbnb4614604","entire_home",1,4,6,2,60,"Reformado y amueblado en enero de 2017","https://a0.muscache.com/im/pictures/04c3ef13-cb31-46c1-a117-4f934e123abf.jpg?aki_policy=medium","Antiguo","Matia"
"1755","airbnb3066401","https://www.airbnb.es/rooms/3066401",-2.00358826084708,43.3140968014673,"2017-08-16 18:39:51.370000","2018-04-15 15:11:20.060000","airbnb15605371","entire_home",5,9,7,4,311,"Apartamento 5 habitaciones cerca de la playa","https://a0.muscache.com/im/pictures/bf786a25-e859-47db-bc67-ecc6dec75a4c.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1756","airbnb19085006","https://www.airbnb.es/rooms/19085006",-2.00454700813758,43.314116484187,"2017-08-16 18:39:43.442000","2018-04-15 15:11:32.903000","airbnb6647633","entire_home",4,8,6,1,197,"Apartamento San Sebastian 8 plaza 5 min playa WIFI","https://a0.muscache.com/im/pictures/7cf2c1bd-0d0b-4e8e-892f-dc8a5e58471e.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1757","airbnb13739614","https://www.airbnb.es/rooms/13739614",-2.00499468506608,43.3139119179984,"2017-08-16 18:39:47.508000","2018-04-15 15:09:43.815000","airbnb15268898","entire_home",0,2,0,2,191,"Apartamento andando a 5 min. de la playa","https://a0.muscache.com/im/pictures/ad6896e2-b960-4724-9cbc-d71aaead8434.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1758","airbnb6968137","https://www.airbnb.es/rooms/6968137",-2.004774738896,43.3143149779477,"2017-08-16 18:39:27.607000","2018-04-15 08:38:13.948000","airbnb18192487","entire_home",2,4,4,2,112,"Ondarreta, muy cerca de la playa.","https://a0.muscache.com/im/pictures/68bc34ef-37e0-4032-a23e-c17ab4dfa06a.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1759","airbnb20785623","https://www.airbnb.es/rooms/20785623",-2.005043,43.314293,"2018-04-07 13:21:14.378000","2018-04-15 15:08:44.477000","airbnb9596468","entire_home",4,8,8,2,140,"Ondarreta Beach &amp; terrace+FREE PARKING and WIFI","https://a0.muscache.com/im/pictures/a47f50f4-1bb2-4043-b25d-f68c15e3fc29.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1760","airbnb10328860","https://www.airbnb.es/rooms/10328860",-2.004657,43.315289,"2017-08-16 18:39:43.442000","2018-04-15 08:41:09.437000","airbnb3746437","entire_home",0,5,0,1,406,"ONDARRETA LUXURY VILLA FLAT","https://a0.muscache.com/im/pictures/54411e22-8638-4097-9fc1-b74b4a320205.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1761","airbnb3129635","https://www.airbnb.es/rooms/3129635",-2.00340438599217,43.3146458349576,"2017-08-16 18:39:39.795000","2018-04-15 15:06:26.532000","airbnb15707672","entire_home",0,4,7,3,178,"Apolo | Ondarreta, WiFi","https://a0.muscache.com/im/pictures/68364840-bc19-4652-87c3-9a72d49642df.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1762","airbnb19094284","https://www.airbnb.es/rooms/19094284",-2.00293816911702,43.3145707210952,"2017-08-16 18:39:51.370000","2018-04-15 08:40:54.134000","airbnb118721607","entire_home",3,6,7,5,254,"vivienda en villa frente al mar","https://a0.muscache.com/im/pictures/7733d3d0-b3f2-4cc5-8bdf-f7c0325c794c.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1763","airbnb22872473","https://www.airbnb.es/rooms/22872473",-2.00298015902938,43.3151048003367,"2018-04-07 13:20:55.699000","2018-04-15 15:07:18.635000","airbnb5254782","entire_home",3,4,1,2,114,"ONDARRETA * Always Easy","https://a0.muscache.com/im/pictures/5daa0750-dd75-4bad-8260-4192095e2f65.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1764","airbnb5631771","https://www.airbnb.es/rooms/5631771",-2.00313388476225,43.3155416286268,"2017-08-16 18:39:23.514000","2018-04-15 08:36:25.907000","airbnb8703392","private_room",1,1,44,2,44,"Single Room","https://a0.muscache.com/im/pictures/936022d3-cae7-4854-a733-1d9a2720eede.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1765","airbnb10114524","https://www.airbnb.es/rooms/10114524",-2.00308255491438,43.3155454888642,"2017-08-16 18:39:39.795000","2018-04-15 15:05:57.517000","airbnb8703392","private_room",2,2,17,2,64,"Ocean Room","https://a0.muscache.com/im/pictures/83a1b8d9-a405-4f91-96ca-a19b148d195e.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1766","airbnb309802","https://www.airbnb.es/rooms/309802",-2.0039371068095,43.3158244022533,"2017-08-16 18:39:47.507000","2018-04-15 08:41:15.038000","airbnb1589633","entire_home",0,6,3,3,198,"Luxury w/terrace near the beach WIF","https://a0.muscache.com/im/pictures/50730214/c4627d34_original.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1767","airbnb5631724","https://www.airbnb.es/rooms/5631724",-2.00300899724363,43.3156456250825,"2017-08-16 18:39:39.795000","2018-04-15 08:37:05.822000","airbnb8703392","private_room",1,2,22,2,63,"Doble Bedroom","https://a0.muscache.com/im/pictures/12e63ba1-d135-473c-a62b-45843c45201e.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1768","airbnb10376824","https://www.airbnb.es/rooms/10376824",-2.00298162994698,43.3156933311079,"2017-08-16 18:39:31.636000","2018-04-15 15:05:28.184000","airbnb8703392","private_room",1,2,33,2,64,"Studio Room","https://a0.muscache.com/im/pictures/63f38c38-548e-4614-b08d-ad384db8a59d.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1769","airbnb4924327","https://www.airbnb.es/rooms/4924327",-2.00324990870701,43.3159421649562,"2017-08-16 18:39:39.794000","2018-04-16 04:34:04.302000","airbnb8703392","private_room",1,2,31,2,76,"Suite Room","https://a0.muscache.com/im/pictures/04855d35-0f93-4fb2-8114-b347b2158c4f.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1770","airbnb21291736","https://www.airbnb.es/rooms/21291736",-2.003566,43.316204,"2018-04-07 13:21:25.976000","2018-04-15 15:10:21.089000","airbnb4614604","entire_home",9,16,7,2,445,"Villa en 1era linea de playa","https://a0.muscache.com/im/pictures/cdcb4e55-e79e-4c74-ae5d-3f75adc64587.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1771","airbnb12185447","https://www.airbnb.es/rooms/12185447",-2.00613879308096,43.3146532011382,"2017-08-16 18:39:47.507000","2017-09-08 09:56:46.361000","airbnb57387361","entire_home",2,5,1,3,180,"Atico exclusivo proximo a la playa","https://a0.muscache.com/im/pictures/cf46b4c8-355a-4c22-975e-83604b982479.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1772","airbnb21940951","https://www.airbnb.es/rooms/21940951",-2.00628124831049,43.3146350255545,"2018-04-07 13:20:55.698000","2018-04-15 15:06:50.459000","airbnb31019676","entire_home",2,4,5,2,83,"Coqueto apartamento al lado del mar","https://a0.muscache.com/im/pictures/c580389b-39fb-4022-9cf4-daa91787c5da.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1773","airbnb14479789","https://www.airbnb.es/rooms/14479789",-2.00601251384618,43.3150278865577,"2017-08-16 18:39:35.812000","2018-04-15 08:41:36.314000","airbnb60018111","entire_home",3,7,9,2,198,"Acogedora casa-villa en la playa de Ondarreta","https://a0.muscache.com/im/pictures/35556ddf-9075-44fb-9b70-1ebf5fa31b99.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1774","airbnb17146614","https://www.airbnb.es/rooms/17146614",-2.00725782069726,43.3143399456458,"2017-08-16 18:39:43.442000","2018-04-15 15:10:13.035000","airbnb6598471","entire_home",3,6,1,3,202,"ZUBIMUSU: Playa de Ondarreta, familias, grupos","https://a0.muscache.com/im/pictures/2e8b5509-0554-4f17-9b6b-6443a82f103e.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1775","airbnb13472443","https://www.airbnb.es/rooms/13472443",-2.00732284665645,43.3161036244023,"2017-08-16 18:39:39.795000","2017-09-08 09:57:02.561000","airbnb13367653","entire_home",2,4,3,2,187,"Erreguenea - vistas al mar  y piscina -TSS00030","https://a0.muscache.com/im/pictures/316ea1b0-fbb0-4212-89cb-23834b757e54.jpg?aki_policy=medium","Antiguo","Faro - Erregenea"
"1776","airbnb13585589","https://www.airbnb.es/rooms/13585589",-2.00738948014839,43.3158271016809,"2017-08-16 18:39:39.795000","2018-04-15 08:40:18.480000","airbnb15707672","entire_home",2,4,6,3,254,"Iruna | Antiguo. WiFi","https://a0.muscache.com/im/pictures/ce84045b-fc8c-47be-9fd4-7138bf73d2a4.jpg?aki_policy=medium","Antiguo","Faro - Erregenea"
"1777","airbnb3689964","https://www.airbnb.es/rooms/3689964",-2.00689174508455,43.3168875504343,"2017-08-16 18:39:39.795000","2017-09-08 09:57:13.827000","airbnb15707672","entire_home",2,4,3,3,140,"Ondarreta II | Ondarreta, WiFi","https://a0.muscache.com/im/pictures/100973276/cd349f43_original.jpg?aki_policy=medium","Antiguo","Faro - Erregenea"
"1778","airbnb3633876","https://www.airbnb.es/rooms/3633876",-2.00709960214813,43.3191153939863,"2018-04-07 13:20:55.699000","2018-04-15 15:07:06.249000","airbnb15707672","entire_home",0,6,6,3,203,"Coral | Ondarreta, WiFi","https://a0.muscache.com/im/pictures/100707162/d151110f_original.jpg?aki_policy=medium","Antiguo","Faro - Erregenea"
