id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,reviews_20181127,lastreview_20181127,exists_20181127
airbnb599232738a46554f807af449659,https://www.airbnb.com/rooms/10219260,-1.983,43.323,2017-08-17 14:04:09.695000,2018-09-22 09:15:25.090000,airbnb52511321,entire_home,0,4,185,2,,202,2018-11-01 00:00:00,1
airbnb599232738a46554f807af449660,https://www.airbnb.com/rooms/4380557,-1.9828703999915305,43.323018417738496,2017-08-17 14:04:25.936000,2018-09-22 09:19:16.892000,airbnb15707672,entire_home,0,6,37,3,,45,2018-10-01 00:00:00,1
airbnb599232738a46554f807af449661,https://www.airbnb.com/rooms/457366,-1.9825723197926555,43.323048583654504,2017-08-17 14:04:21.852000,2018-09-22 09:09:40.567000,airbnb2015934,private_room,1,3,10,7,,10,2016-05-01 00:00:00,1
airbnb599232738a46554f807af449662,https://www.airbnb.com/rooms/5858640,-1.9825862189578043,43.32306570093831,2017-08-17 14:04:09.695000,2018-09-22 09:16:11.493000,airbnb20793003,entire_home,0,6,184,1,,0,0,1
airbnb599232738a46554f807af449663,https://www.airbnb.com/rooms/3252963,-1.9823435466611794,43.3225251605618,2017-08-17 14:04:30.027000,2017-09-08 07:30:33.377000,airbnb15707672,entire_home,,6,17,3,170,0,0,0
airbnb599232738a46554f807af449664,https://www.airbnb.com/rooms/21956759,-1.982490669469979,43.322490136825046,2018-05-07 12:20:28.432000,2018-09-22 09:11:08.479000,airbnb151115652,entire_home,2,5,7,1,,7,2018-07-01 00:00:00,1
airbnb599232738a46554f807af449665,https://www.airbnb.com/rooms/23035276,-1.982517419992605,43.32256586291774,2018-05-07 12:20:28.433000,2018-09-22 09:19:46.091000,airbnb790667,private_room,0,2,0,1,,0,0,0
airbnb599232738a46554f807af449666,https://www.airbnb.com/rooms/8302426,-1.9826250313209528,43.32254063686482,2017-08-17 14:04:30.028000,2018-09-22 09:20:14.698000,airbnb15707672,entire_home,0,6,13,3,,0,0,0
airbnb599232738a46554f807af449667,https://www.airbnb.com/rooms/23033623,-1.9825462830016838,43.32251169172619,2018-05-07 12:20:28.433000,2018-09-22 09:18:16.392000,airbnb790667,private_room,1,2,0,1,,0,0,0
airbnb599232738a46554f807af449668,https://www.airbnb.com/rooms/3253177,-1.9815120584073367,43.32246861268626,2017-08-17 14:04:25.935000,2017-09-08 07:30:44.293000,airbnb15707672,entire_home,2,4,10,3,160,0,0,0
airbnb599232738a46554f807af449669,https://www.airbnb.com/rooms/7303962,-1.9815677737101138,43.32245918542129,2018-05-07 12:20:34.573000,2018-06-02 07:23:26.963000,airbnb38259578,entire_home,2,4,2,5,313,2,2015-08-01 00:00:00,1
airbnb599232738a46554f807af449670,https://www.airbnb.com/rooms/4390976,-1.9812503979605094,43.322503459737895,2017-08-17 14:04:25.935000,2018-06-02 07:23:10.267000,airbnb15707672,entire_home,0,4,24,3,180,0,0,0
airbnb599232738a46554f807af449671,https://www.airbnb.com/rooms/3252888,-1.9812388612545575,43.32243126272501,2017-08-17 14:04:25.936000,2017-09-08 07:30:56.035000,airbnb15707672,entire_home,2,4,12,3,150,0,0,0
airbnb599232738a46554f807af449672,https://www.airbnb.com/rooms/18554554,-1.9813927005550285,43.32243899690586,2017-08-17 14:04:09.695000,2018-09-22 08:50:25.385000,airbnb15707672,entire_home,2,3,24,3,,29,2018-10-01 00:00:00,1
airbnb599232738a46554f807af449673,https://www.airbnb.com/rooms/24975786,-1.9812809331083414,43.32260098329192,2018-05-25 14:09:27.686000,2018-06-02 07:21:25.726000,airbnb14591119,entire_home,3,6,1,2,241,0,0,0
airbnb599232738a46554f807af449674,https://www.airbnb.com/rooms/8296851,-1.9812005038722462,43.32288730551212,2017-08-17 14:04:25.936000,2018-09-22 09:19:29.405000,airbnb15707672,entire_home,0,4,34,3,,37,2018-10-01 00:00:00,1
airbnb599232738a46554f807af449675,https://www.airbnb.com/rooms/10668807,-1.9810121423609832,43.32321016629841,2017-08-17 14:04:46.213000,2018-09-22 09:12:51.664000,airbnb55108903,entire_home,2,4,33,2,,35,2018-10-01 00:00:00,1
airbnb599232738a46554f807af449676,https://www.airbnb.com/rooms/3252980,-1.9817678650267572,43.322819930972685,2017-08-17 14:04:42.287000,2017-09-08 07:31:20.057000,airbnb15707672,entire_home,3,6,29,3,170,0,0,0
airbnb599232738a46554f807af449677,https://www.airbnb.com/rooms/12862977,-1.981740486147651,43.32279133974547,2017-08-17 14:04:42.287000,2018-06-02 07:24:42.836000,airbnb59754218,private_room,0,2,38,2,72,0,0,0
airbnb599232738a46554f807af449678,https://www.airbnb.com/rooms/3261561,-1.981915100656495,43.32268316721726,2017-08-17 14:04:54.259000,2018-09-22 09:22:40.114000,airbnb16394970,entire_home,0,6,119,2,,124,2018-09-01 00:00:00,1
airbnb599232738a46554f807af449679,https://www.airbnb.com/rooms/3253107,-1.981861673210713,43.32307353074131,2017-08-17 14:04:30.027000,2017-09-08 07:31:36.670000,airbnb15707672,entire_home,2,4,4,3,150,0,0,0
airbnb599232738a46554f807af449680,https://www.airbnb.com/rooms/14659615,-1.9819573305497107,43.3235013024158,2017-08-17 14:04:34.160000,2018-06-02 07:24:04.319000,airbnb59754218,private_room,0,2,27,2,60,0,0,0
airbnb599232738a46554f807af449681,https://www.airbnb.com/rooms/9762074,-1.9819358679708725,43.32364500043423,2017-08-17 14:05:02.744000,2017-09-08 07:31:48.017000,airbnb12954077,entire_home,2,6,99,2,125,0,0,0
airbnb599232738a46554f807af449682,https://www.airbnb.com/rooms/17976071,-1.9819758346176797,43.32374840064553,2017-08-17 14:04:18.001000,2017-09-08 07:31:53.793000,airbnb37985139,entire_home,2,4,12,2,145,0,0,0
airbnb599232738a46554f807af449683,https://www.airbnb.com/rooms/18904422,-1.981473474648102,43.32348762732424,2017-08-17 14:05:02.745000,2017-09-08 07:31:59.960000,airbnb124008929,entire_home,3,6,5,1,298,0,0,0
airbnb599232738a46554f807af449684,https://www.airbnb.com/rooms/18904473,-1.9814890740129896,43.32338759251453,2017-08-17 14:05:11.339000,2017-09-08 07:32:05.727000,airbnb124008929,entire_home,3,6,15,1,338,0,0,0
airbnb599232738a46554f807af449685,https://www.airbnb.com/rooms/22560093,-1.980973866737307,43.32353039451513,2018-05-07 12:20:46.769000,2018-09-22 08:19:43.964000,airbnb124008929,entire_home,2,3,3,1,,3,2018-06-01 00:00:00,1
airbnb599232738a46554f807af449686,https://www.airbnb.com/rooms/3251966,-1.981043214057624,43.323507716394566,2017-08-17 14:04:46.213000,2018-09-22 09:16:49.682000,airbnb15707672,entire_home,0,4,19,3,,24,2018-11-01 00:00:00,1
airbnb599232738a46554f807af449687,https://www.airbnb.com/rooms/13546468,-1.9811886980916869,43.32366369056288,2017-08-17 14:05:11.340000,2017-09-08 07:32:17.440000,airbnb2470030,entire_home,2,5,49,3,159,0,0,0
airbnb599232738a46554f807af449688,https://www.airbnb.com/rooms/13286702,-1.9810110759669621,43.324250936656284,2017-08-17 14:05:06.877000,2017-09-08 07:32:23.531000,airbnb37985139,entire_home,2,6,10,2,145,0,0,0
airbnb599232738a46554f807af449689,https://www.airbnb.com/rooms/15953241,-1.9818576040032307,43.32405244147572,2018-08-27 05:57:10.407000,2018-09-22 09:09:09.067000,airbnb63333992,entire_home,3,3,20,1,,35,2018-11-01 00:00:00,1
