estado,tipo,dirección,longitude,latitude
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 10, 01 - A",-1.9893715741,43.3149222618
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 10, 01 - E",-1.9893715741,43.3149222618
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 10, 04 - C",-1.9893715741,43.3149222618
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 10, 09 - D",-1.9893715741,43.3149222618
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 11, 01 - A",-1.9893788257,43.3144847067
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 12, 01 - B",-1.9898704689,43.3146868791
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 17",-1.9912279216,43.3144718565
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 17, 01",-1.9912279216,43.3144718565
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 21-Iz, 02 - Iz  Itxaso Aizeak",-1.9913507093,43.314026676
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 24, 01 - B  Amparo",-1.9919070521,43.3142986549
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 24, 01 - C  Amparo",-1.9919070521,43.3142986549
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 24, 02 - A  Amparo",-1.9919070521,43.3142986549
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 24, 03 - A  Amparo",-1.9919070521,43.3142986549
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 30, 01 - Dr",-1.9932407349,43.3142078412
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 30, Pr - Dr",-1.9932407349,43.3142078412
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 36, 00  Bajo",-1.9941432136,43.3141896687
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 37, 05 - Dr",-1.9941654132,43.3141895038
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 38  Principal Izquierda",-1.9943635872,43.3141891754
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 39, 03 - Dra",-1.9947772919,43.3141829073
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 42  1º A",-1.9956837936,43.3141899707
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 5, 02  Derecha",-1.9760967581,43.3218006857
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 5, 03 - Dr",-1.9760967581,43.3218006857
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 5, 03 - Iz",-1.9760967581,43.3218006857
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 6  -8 , 2º Izq/Izq",-1.9760573962,43.3216329398
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 6  -8, 2º Izq/Dcha",-1.9760573962,43.3216329398
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 6, 01 - Di  (1º Izda. Dcha. Letra A)",-1.9760573962,43.3216329398
