estado,tipo,dirección,x,y
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   12,    06 - C","582958.43","4797193.43"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   12,    07 - B","582958.43","4797193.43"
VUT_Favorable,"Viviendas de uso turístico","Colon,Ps de   17  Entlo. Izda.","582952.69","4797227.35"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   21,    06 - Iz","582969.28","4797248.09"
VUT_Favorable,"Viviendas de uso turístico","Colon,Ps de   24,    01 - Dr","583037","4797282.38"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   24,    01 - Iz","583037","4797282.38"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   24,    08 - Dr","583037","4797282.38"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   29,    02 - B","583108.56","4797387.96"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   29,    02 - E","583108.56","4797387.96"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   29,    07 - A","583108.56","4797387.96"
VUT_Favorable,"Viviendas de uso turístico","Colon,Ps de   39  Principal Derecha","583177.38","4797455.73"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   39,    02 - Iz","583177.38","4797455.73"
VUT_Favorable,"Viviendas de uso turístico","Constitucion,Pz    4,    01 - Dr","582291.39","4797272.66"
VUT_Tramitacion,"Viviendas de uso turístico","Constitucion,Pz   11,    01 - Iz","582336.98","4797239.47"
VUT_Favorable,"Viviendas de uso turístico","Constitucion,Pz   12  Entlo.","582323.39","4797234.67"
VUT_Tramitacion,"Viviendas de uso turístico","Corta    4,    04 - C","583129.49","4797033.2"
VUT_Tramitacion,"Viviendas de uso turístico","Crist. Balenciaga,Ps    5  Gure Izardia","579713.11","4796587.66"
VUT_Tramitacion,"Viviendas de uso turístico","Crist. Balenciaga,Ps    5  Gure Izardia","579713.11","4796587.66"
VUT_Favorable,"Viviendas de uso turístico","Doctor C. Delgado    3  Entlo. B","583494.06","4797375.08"
VUT_Tramitacion,"Viviendas de uso turístico","Doctor C. Delgado    3,    En  Entresuelo","583494.06","4797375.08"
VUT_Tramitacion,"Viviendas de uso turístico","Doctor Marañon,Ps   14,    01 - B  Begi Urdiñak","581355.49","4795500.92"
VUT_Tramitacion,"Viviendas de uso turístico","Donibane Garazi    3,    04 - B","580433.27","4796034.73"
VUT_Favorable,"Viviendas de uso turístico","Donibane Garazi    5,    01 - B","580423.97","4796047.9"
VUT_Tramitacion,"Viviendas de uso turístico","Donibane Garazi    5,    06 - B","580423.97","4796047.9"
VUT_Tramitacion,"Viviendas de uso turístico","Donibane Garazi    6,    05 - A","580442.37","4796060.72"
VUT_Tramitacion,"Viviendas de uso turístico","Donibane Garazi    6,    05 - C","580442.37","4796060.72"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Baena,Ps   15,    00 - Iz","581486.5","4796134.23"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps    3-Dr,    02 - D","583188.99","4796875.89"
VUT_Favorable,"Viviendas de uso turístico","Duque de Mandas,Ps    3-Iz,    01 - C","583188.99","4796875.89"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps    5,    01 - A","583184.87","4796852.96"
VUT_Favorable,"Viviendas de uso turístico","Duque de Mandas,Ps    5,    01 - C","583184.87","4796852.96"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   11,    06 - B","583176.98","4796809.55"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   11,    06 - D","583176.98","4796809.55"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   15,    02 - A","583172.09","4796783.44"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   19.A,    07 - A","583167.32","4796756.42"
