"id","latitude","longitude","price","accommodates","room_type","host_id","host_name"
1939684,43.3235016499292,-1.98687975143302,76,2,"Private room",9893159,"Joseba"
3299602,43.3200274650372,-1.95363592092243,125,2,"Private room",16665297,"Monika"
9099519,43.3137207152273,-1.98272441913846,173,4,"Entire home/apt",12954077,"Aritz"
13777168,43.3085418771649,-1.97300171304818,170,2,"Private room",49473712,"Miren"
7436552,43.31429049332,-2.00268121237036,178,3,"Entire home/apt",38955484,"Amaia"
13990118,43.3121110013131,-2.00192263004378,1,4,"Entire home/apt",22523569,"Julen"
12040438,43.3136225139975,-1.99304647854011,61,8,"Entire home/apt",25039584,"Ss Housing"
751799,43.3247544744086,-1.97213943859917,163,2,"Entire home/apt",3952766,"Jon"
2054315,43.3055343227562,-1.97742322598718,137,4,"Entire home/apt",9721328,"Albert"
14244064,43.3152699098071,-1.98323950486644,1,1,"Shared room",86025214,"A Room In The City"
11081901,43.3229869879702,-1.97697262386347,84,1,"Private room",34331007,"Manoli"
7239871,43.3060817172995,-1.97704767732181,163,5,"Entire home/apt",10279610,"Nagore"
16345462,43.3125393144263,-2.00211003062398,149,5,"Entire home/apt",10725302,"Aizlur, S.L."
11138738,43.3119485451058,-1.98721692645371,115,2,"Private room",28337583,"Eneko"
6756472,43.3240642162904,-1.97754898929014,60,1,"Private room",938570,"Bettina"
4817937,43.3178851259676,-1.98440054474077,163,3,"Entire home/apt",3952766,"Jon"
11921622,43.3247280098777,-1.98346228237346,170,4,"Entire home/apt",63349894,"Arantza"
12965971,43.3225903699508,-1.97328468550439,149,2,"Entire home/apt",36152588,"Monica"
3160737,43.3220945558588,-1.97946781429598,22,4,"Entire home/apt",15707672,"The Rentals Collection"
13524940,43.3247573395029,-1.98601536541851,149,3,"Entire home/apt",77712776,"Iñaki Aitor"
6962225,43.3229265479935,-1.97159760279345,178,8,"Entire home/apt",36506256,"MariCarmen"
5808029,43.3241921801653,-1.97798390174412,40,6,"Entire home/apt",3952766,"Jon"
7274373,43.3146870676719,-1.98080849066417,15,6,"Entire home/apt",38085461,"Alex"
13025170,43.3148142807188,-1.99056950935258,177,2,"Entire home/apt",42591511,"Iñigo"
6979564,43.3195959068572,-1.95658263378817,130,3,"Entire home/apt",36598239,"Martin"
13819786,43.3233951159783,-1.98447573259402,125,2,"Private room",2849717,"Kelly"
9181939,43.3231273957366,-1.98580818013284,6,4,"Entire home/apt",18192487,"José Mari"
11459309,43.3241086971732,-1.9853362640067,31,5,"Entire home/apt",60178480,"Nico"
16118909,43.3116544137896,-2.00021488306367,178,4,"Private room",100340746,"Koisi"
8960699,43.3093048810912,-1.96592526395009,149,5,"Entire home/apt",46831784,"Ion"
15342273,43.3202508519917,-1.98284642413862,158,4,"Entire home/apt",25039584,"Ss Housing"
8100527,43.3169031814,-1.98552652927005,42,3,"Entire home/apt",42775520,"Maria"
14932672,43.313902144494,-2.0046555635146,70,1,"Private room",38675974,"Mathieu"
7625399,43.3125825843627,-2.00107931504635,36,6,"Entire home/apt",5254782,"Always Easy"
13596735,43.3219689841061,-1.9703620458905,26,5,"Entire home/apt",35205333,"Adele"
11606086,43.3190019004871,-1.97428835408307,115,2,"Private room",48013502,"Urko"
9918508,43.3116023444769,-2.00039201556391,18,5,"Entire home/apt",50993110,"Alan"
899114,43.3187517131944,-1.98347839742908,173,2,"Entire home/apt",3952766,"Jon"
13222919,43.3226210945184,-1.98642356319116,154,2,"Private room",73815563,"Mª Pilar"
14382086,43.3119647864389,-1.95274016871711,149,2,"Private room",12465495,"Garazi"
3618795,43.3244750078369,-1.9860916105247,8,2,"Entire home/apt",12473012,"Gorka"
13023213,43.313393095607,-1.98991938329972,102,5,"Entire home/apt",66056585,"Alethia"
2570194,43.314603628165,-1.98717348936464,101,3,"Private room",13159858,"Josse"
5879782,43.324206355167,-1.9861585118626,115,2,"Private room",29992891,"Brendon & Nick"
11335572,43.3247516697456,-1.97155906558461,36,8,"Entire home/apt",59153204,"Laura"
14853102,43.3156182016032,-2.00100330938415,82,8,"Entire home/apt",27935393,"Cristina"
7731079,43.3157227902026,-1.98650602384474,173,2,"Private room",23783738,"Jone"
15972224,43.304852158383,-1.97300763210505,154,2,"Entire home/apt",102478614,"Nuria"
13563765,43.3173544574965,-1.96970229272176,128,3,"Private room",14011988,"Pablo"
5633893,43.3245186327895,-1.97637696900291,177,2,"Entire home/apt",6598471,"People Rentals"
956265,43.3129056431929,-1.99063725883405,40,2,"Entire home/apt",5171520,"Itziar"
14810653,43.3214166273681,-1.98160346232289,176,6,"Entire home/apt",25039584,"Ss Housing"
6166347,43.3226413494932,-1.97750120744159,46,6,"Entire home/apt",31990516,"Olga"
1928837,43.3246586802201,-1.98549004865741,101,4,"Private room",9893159,"Joseba"
3159884,43.3266870858917,-1.97016543969919,22,2,"Entire home/apt",15707672,"The Rentals Collection"
13809464,43.3174803280243,-1.98455544827711,134,2,"Private room",70686255,"Gloria"
13891341,43.3113911582809,-1.99228385714306,149,2,"Entire home/apt",72832832,"Onintza"
2799378,43.2686545612859,-2.03453978690033,158,2,"Private room",14157336,"Rosa Maria"
