"id"	"name"	"host_id"	"host_name"	"host_since"	"latitude"	"longitude"	"is_location_exact"	"property_type"	"room_type"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"bed_type"	"price"	"availability_365"	"number_of_reviews"	"license"
16676363	"Suite de 70 m2 en Villa, parking"	51682000	"Maria Jesus"	"2015-12-18"	43.3024516423592	-2.00474306596705	"f"	"Villa"	"Private room"	2	1	1	1	"Real Bed"	"$50.00"	232	0	""
4068944	"Habitacion doble exterior"	19632477	"Ibon"	"2014-08-07"	43.3249354940648	-1.9691212705565	"t"	"House"	"Private room"	2	2	1	2	"Real Bed"	"$30.00"	326	33	""
7153003	"Centro de San Sebastián LSS00017"	20659319	"Lu"	"2014-08-28"	43.3166796134929	-1.98504923314227	"t"	"Apartment"	"Private room"	2	2	1	1	"Real Bed"	"$35.00"	70	82	""
10083926	"Orleans | City Centre, Wi - Fi"	15707672	"The Rentals Collection"	"2014-05-19"	43.317855544827	-1.98180950183273	"t"	"Apartment"	"Entire home/apt"	4	2	2	4	"Real Bed"	"$150.00"	347	3	""
10826667	"Habitación Privada en San Sebastián"	56059059	"Patri&Jhon"	"2016-01-25"	43.3195841208048	-1.97469921672172	"f"	"Apartment"	"Private room"	2	1	1	1	"Pull-out Sofa"	"$59.00"	346	2	""
5387741	"The magic of the old village"	27820050	"Carolina"	"2015-02-16"	43.3228641408757	-1.98299306522229	"t"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$60.00"	321	60	""
13202920	"Doble Exterior nº3 (2camas juntas)  old town WIFI"	73815563	"Mª Pilar"	"2016-05-24"	43.321870291962	-1.98707512793677	"f"	"House"	"Private room"	2	3.5	1	1	"Real Bed"	"$60.00"	282	0	""
12285403	"Lovely, new and in the Centre!!! ESS00012"	66195608	"Joxean Y Eva"	"2016-04-07"	43.3142841820952	-1.98063285859843	"t"	"Apartment"	"Entire home/apt"	3	1	1	2	"Real Bed"	"$120.00"	320	31	""
13055431	"SINGLE FIN ROOM NEXT TO THE BEACH!!"	72282344	"I Feel Sweel"	"2016-05-16"	43.325368840399	-1.97306009272686	"f"	"House"	"Private room"	1	1	1	1	"Real Bed"	"$35.00"	142	3	""
1906056	"Double room in the Old Part WIFI"	9893159	"Joseba"	"2013-11-08"	43.3236623920017	-1.98522235121363	"f"	"Apartment"	"Private room"	3	2	1	3	"Real Bed"	"$35.00"	342	173	""
13079986	"Apartamento en el centro"	60269276	"Iban"	"2016-02-24"	43.3173113867399	-1.97522682465173	"t"	"Apartment"	"Entire home/apt"	2	1	1	1	"Real Bed"	"$90.00"	310	45	""
14464440	"Casa Marino luminoso y 500m playa"	40631970	"Sofia"	"2015-08-05"	43.3224086404141	-1.96958380401698	"t"	"Apartment"	"Entire home/apt"	6	2	3	3	"Real Bed"	"$150.00"	112	2	""
12178871	"Cozy apartment for four guests."	38990075	"María"	"2015-07-20"	43.323591254153	-1.98606481759571	"f"	"Apartment"	"Entire home/apt"	4	1.5	2	4	"Real Bed"	"$195.00"	256	28	""
12219819	"Sea and serenity Mar y tranquilidad"	65708005	"Kayros"	"2016-04-04"	43.3192174337647	-2.03070953111368	"t"	"Apartment"	"Entire home/apt"	4	1	1	3	"Real Bed"	"$99.00"	259	37	"Registro  LSS00045"
14310984	"Casa Marino"	40631970	"Sofia"	"2015-08-05"	43.3218381976013	-1.96930779516875	"t"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$70.00"	112	5	""
